Address,City,Neighborhood,Market,Zip Code,Space type,Total Space Available,Lease Rate
"537 South Broadway, Los Angeles, CA 90013","Los Angeles, CA",Downtown Los Angeles,Metro Los Angeles,"
                90013
            ",Office - Creative," 45,000 Sqft",$2.5/Sqft/Month
"106 Innovation Way, Scarborough, ME 04070","Scarborough, ME",Scarborough,Portland ME,"
                04070
            ",Flex Space," 40,000 Sqft",Contact for pricing
"633 East Fernhurst Drive, Katy, TX 77450","Katy, TX","
                77450
            ",,Houston,Office - Office Condo," 1,200 Sqft",$24.5/Month
"12302 E. 104th Avenue, Commerce City, CO 80022","Commerce City, CO",Turnberry,Denver,"
                80022
            ",Retail - Street Retail," 1,415 Sqft",Contact for pricing
"1829 Hendersonville Road, Asheville, NC 28803","Asheville, NC",Hendersonville,Asheville,"
                28803
            ",Retail," 28,500 Sqft",$22/Sqft/Year
"20112 Pierce Street, Elkhorn, NE 68022","Elkhorn, NE",Chicago,Omaha,"
                68022
            ",Retail - Strip," 8,161 Sqft",$19.5/Sqft/Year
"5920-5952 Troy Hwy, Montgomery, AL 36116","Montgomery, AL",Waller Creek,,"
                36116
            ",Industrial - Warehouse/Distribution," 20,000 Sqft",$750/Month
"136 Waxhaw Parkway, Waxhaw, NC 28173","Waxhaw, NC",The Oaks on Providence,Charlotte,"
                28173
            ",Office - Shared Space," 17,100 Sqft","$1,200/Month"
"27200-27220 W. 8 Mile Road, Southfield, MI 48033","Southfield, MI",Southfield,Detroit,"
                48033
            ",Retail," 15,000 Sqft",$12 - $14/Sqft/Year
"750 Warrenville Road, Lisle, IL 60532","Lisle, IL",Arbor Ridge,Chicago,"
                60532
            ",Office - General Office," 102,924 Sqft",$13/Sqft/Year
"221 Alabama Street, Columbus, MS 39702","Columbus, MS","
                39702
            ",,,Retail - Strip," 40,600 Sqft",Contact for pricing
"2038 West 29th Street, Cleveland, OH 44113","Cleveland, OH",Ohio City,,"
                44113
            ",Retail - Street Retail," 6,000 Sqft",Contact for pricing
"4415 Harrison Street, Hillside, IL 60162","Hillside, IL","
                60162
            ",,,Office," 191,998 Sqft",$15 - $16/Sqft/Year
